Date,Close
2021-03-22,102.540001
2021-03-23,101.970001
2021-03-24,104.699997
2021-03-25,105.070000
2021-03-26,107.480003
2021-03-29,106.919998
2021-03-30,105.930000
2021-03-31,104.790001
2021-04-01,105.750000
2021-04-05,104.510002
2021-04-06,103.580002
2021-04-07,104.190002
2021-04-08,103.019997
2021-04-09,102.919998
2021-04-12,101.779999
2021-04-13,102.239998
2021-04-14,104.269997
2021-04-15,103.419998
2021-04-16,102.959999
2021-04-19,103.260002
2021-04-20,101.330002
2021-04-21,102.730003
2021-04-22,100.949997
2021-04-23,101.550003
2021-04-26,101.519997
2021-04-27,102.699997
2021-04-28,105.220001
2021-04-29,106.900002
2021-04-30,103.070000
2021-05-03,105.529999
2021-05-04,106.110001
2021-05-05,108.959999
2021-05-06,109.019997
2021-05-07,110.019997
2021-05-10,109.570000
2021-05-11,106.699997
2021-05-12,107.370003
2021-05-13,106.680000
2021-05-14,109.470001
2021-05-17,110.809998
2021-05-18,106.180000
2021-05-19,103.199997
2021-05-20,103.559998
2021-05-21,104.120003
2021-05-24,105.599998
2021-05-25,103.870003
2021-05-26,104.120003
2021-05-27,103.010002
2021-05-28,103.790001
2021-06-01,106.650002
2021-06-02,108.080002
2021-06-03,107.589996
2021-06-04,108.449997
2021-06-07,107.750000
2021-06-08,108.730003
2021-06-09,107.779999
2021-06-10,108.410004
2021-06-11,107.910004
2021-06-14,107.970001
2021-06-15,110.300003
2021-06-16,109.669998
2021-06-17,107.070000
2021-06-18,103.029999
2021-06-21,106.050003
2021-06-22,106.400002
2021-06-23,106.269997
2021-06-24,107.139999
2021-06-25,107.300003
2021-06-28,103.989998
2021-06-29,103.760002
2021-06-30,104.739998
2021-07-01,106.209999
2021-07-02,106.070000
2021-07-06,103.989998
2021-07-07,102.930000
2021-07-08,102.599998
2021-07-09,104.070000
2021-07-12,104.279999
2021-07-13,103.930000
2021-07-14,101.970001
2021-07-15,101.300003
2021-07-16,98.620003
2021-07-19,95.959999
2021-07-20,96.529999
2021-07-21,99.820000
2021-07-22,98.820000
2021-07-23,98.860001
2021-07-26,100.949997
2021-07-27,100.610001
2021-07-28,101.180000
2021-07-29,102.570000
2021-07-30,101.809998
2021-08-02,101.629997
2021-08-03,102.599998
2021-08-04,100.300003
2021-08-05,101.230003
2021-08-06,101.949997
2021-08-09,100.250000
2021-08-10,102.080002
2021-08-11,102.849998
2021-08-12,102.639999
2021-08-13,101.959999
2021-08-16,100.919998
2021-08-17,100.730003
2021-08-18,96.699997
2021-08-19,94.290001
2021-08-20,94.300003
2021-08-23,96.730003
2021-08-24,97.839996
2021-08-25,98.510002
2021-08-26,97.220001
2021-08-27,98.639999
2021-08-30,98.389999
2021-08-31,96.769997
2021-09-01,95.709999
2021-09-02,97.709999
2021-09-03,97.489998
2021-09-07,97.059998
2021-09-08,96.389999
